figure_id,caption,pdf_page,chart_family,extraction_priority,phase7_status,downstream_use,model_input_status,closeout_note
Figure 1,TFL 6 Overview,66,map_or_diagram,excluded_context,inventory_context_only,qualitative_context_only,not_model_input,"Context map, diagram, or image; not a chart-to-table target in Phase 7."
Figure 2,Base Case Harvest Level,82,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 3,Base Case THLB Growing Stock By 1-120 Years Old And 120+ Years Old Categories,83,multi_series_line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 4,Base Case Harvest by Stand Eras,84,stacked_or_grouped_time_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 5,Base Case Harvest Level by Stand Seral Stages,85,stacked_or_grouped_time_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 6,"Base Case Age Class Distribution of Productive Forest Area (187,425 ha)",86,bar_chart,high,reviewed_for_planning,phase6_mp11_age_class_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 7,Base Case Harvest Level by Harvest Systems,87,stacked_or_grouped_time_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 8,Base Case Average Block Size by Harvest Systems,88,bar_or_mixed_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 9,Base Case THLB Growing Stock by Harvest Systems,89,stacked_or_grouped_time_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 10,Base Case Merchantable Growing Stock by Harvest Systems,90,stacked_or_grouped_time_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 11,Base Case Harvest Statistics,91,bar_or_mixed_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 12,Base Case Harvest by Species Composition,92,bar_or_mixed_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 13,Base Case Harvest by Elevation Bands,93,bar_or_mixed_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 14,Base Case Cedar Inventory in Productive Forests,95,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_cedar_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 15,Base Case Old Cedar Inventory in Productive Forests,97,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_cedar_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 16,Projection of Old Seral Forest Proportions for Holberg LU,98,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_old_seral_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 17,Projection of Old Seral Forest Proportions for Keogh LU,99,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_old_seral_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 18,Projection of Old Seral Forest Proportions for Mahatta LU,99,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_old_seral_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 19,Projection of Old Seral Forest Proportions for Neroutsos LU,100,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_old_seral_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
