corpus_id,source_url,source_sha256,report_component,report_page,pdf_page,figure_id,caption,chart_family,extraction_priority,initial_review_status,downstream_relevance,phase6_alignment
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,2,66,Figure 1,TFL 6 Overview,map_or_diagram,excluded_context,inventory_only,context figure; not a chart-to-table target,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,18,82,Figure 2,Base Case Harvest Level,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,19,83,Figure 3,Base Case THLB Growing Stock By 1-120 Years Old And 120+ Years Old Categories,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,20,84,Figure 4,Base Case Harvest by Stand Eras,stacked_or_grouped_time_chart,medium,inventory_only,categorical time-series; likely needs manual legend/crop review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,21,85,Figure 5,Base Case Harvest Level by Stand Seral Stages,stacked_or_grouped_time_chart,medium,inventory_only,categorical time-series; likely needs manual legend/crop review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,22,86,Figure 6,"Base Case Age Class Distribution of Productive Forest Area (187,425 ha)",bar_chart,high,inventory_only,age-class distribution directly relevant to starting inventory comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,23,87,Figure 7,Base Case Harvest Level by Harvest Systems,stacked_or_grouped_time_chart,medium,inventory_only,categorical time-series; likely needs manual legend/crop review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,24,88,Figure 8,Base Case Average Block Size by Harvest Systems,bar_or_mixed_chart,medium,inventory_only,KPI-style chart; useful for comparison after easier harvest-flow targets,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,25,89,Figure 9,Base Case THLB Growing Stock by Harvest Systems,stacked_or_grouped_time_chart,medium,inventory_only,categorical time-series; likely needs manual legend/crop review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,26,90,Figure 10,Base Case Merchantable Growing Stock by Harvest Systems,stacked_or_grouped_time_chart,medium,inventory_only,categorical time-series; likely needs manual legend/crop review,#44; later #45/#46/#47 as applicable
