step_id,label,order,execution_class,phase9_status,source_ids,candidate_ids,source_reference_status,candidate_reference_status,mp11_target_ha,output_role,notes
mp11_nd_000,Total land base / accounting universe,0,checkpoint,ready_for_recipe_scaffold,"tfl6_aoi_current, vri_2025_r1_tfl6",,ok,ok,217197.0,checkpoint_only,Verify AOI and R1 accounting area before any ordered deductions.
mp11_nd_010,Non-forest and non-treed review candidates,10,attribute_candidate,review_required_before_execution,vri_2025_r1_tfl6,"vri_bclcs_level1_nonforest_candidate, vri_bclcs_level2_non_treed_water_null_candidate",ok,ok,,gross_and_ordered_candidate_diagnostic,Candidate rules must be reviewed before P9.5 execution.
mp11_nd_020,Existing roads,20,overlay_candidate,review_required_before_execution,dra_roads_tfl6,dra_roads_tfl6_geometry_summary,ok,ok,,gross_and_ordered_candidate_diagnostic,Road class filters and buffer widths remain unresolved.
mp11_nd_030,Total forested checkpoint,30,checkpoint,ready_for_recipe_scaffold,,,ok,ok,196233.0,checkpoint_only,Compare after accepted non-forest and road deductions.
mp11_nd_040,Non-productive and low-site candidates,40,attribute_candidate,review_required_before_execution,"vri_2025_r1_tfl6, vdyp7_2025_poly_tfl6","vri_explicit_nonproductive_candidate, vri_site_index_lt5_candidate",ok,ok,,gross_and_ordered_candidate_diagnostic,MP11 LiDAR/LEFI low-site gap remains unavailable or sensitivity-bound.
mp11_nd_050,Productive forest / AFLB checkpoint,50,checkpoint,ready_for_recipe_scaffold,,,ok,ok,187425.0,checkpoint_only,Compare after accepted productivity deductions.
mp11_nd_060,"Legal/proposed OGMAs, WHAs, UWRs, and conservation candidates",60,overlay_candidate,mixed_public_proxy_review_required,"ogma_legal_current_tfl6, ogma_non_legal_current_tfl6, wha_approved_tfl6, uwr_approved_tfl6","ogma_legal_current_tfl6_geometry_summary, ogma_non_legal_current_tfl6_geometry_summary, wha_approved_tfl6_geometry_summary, uwr_approved_tfl6_geometry_summary",ok,ok,,gross_and_ordered_candidate_diagnostic,Current public legal layers are rebuild candidates; proposed/non-legal areas remain proxy/vintage caveats.
mp11_nd_070,"Additional values: research, PSPs, big trees, and karst",70,unavailable_or_proxy_gap,deferred_unavailable_or_public_proxy_needed,wfp_lbb_iti_lefi,,ok,ok,,gap_diagnostic,Public karst or big-tree sources may be added later; PSP/research locations remain unavailable unless public-safe geometry is found.
mp11_nd_080,Physical/economic operability proxy,80,proxy_candidate,review_required_before_execution,"vri_2025_r1_tfl6, public_dem_slope_candidate, wfp_lbb_iti_lefi","vri_low_height_operability_candidate, vri_low_volume_operability_candidate, vri_hembal_height3_operability_candidate",ok,ok,156305.0,proxy_and_gap_diagnostic,DEM/slope is not materialized; WFP LBB remains unavailable_non_public.
mp11_nd_090,Riparian management,90,overlay_candidate,review_required_before_execution,"fwa_stream_networks_tfl6, fwa_lakes_tfl6, fwa_wetlands_tfl6, shoreline_candidate","fwa_stream_networks_tfl6_geometry_summary, fwa_lakes_tfl6_geometry_summary, fwa_wetlands_tfl6_geometry_summary",ok,ok,,gross_and_ordered_candidate_diagnostic,Stream/lake/wetland buffers and ocean shoreline proxy remain review-required.
mp11_nd_100,Terrain stability and LiDAR 90 percent slope,100,proxy_candidate,deferred_public_dem_needed,"public_dem_slope_candidate, wfp_lbb_iti_lefi",,ok,ok,,gap_diagnostic,Public DEM/slope is the only allowed base proxy; WFP LiDAR remains unavailable.
mp11_nd_110,Existing/future WTRAs and stand-level retention,110,aspatial_policy_candidate,review_required_before_execution,"bec_tfl6, landscape_units_tfl6",,ok,ok,,aspatial_policy_diagnostic,Future WTRAs and retention require explicit aspatial/policy handling.
mp11_nd_120,Current THLB checkpoint,120,checkpoint,comparison_target_only,,,ok,ok,120099.0,checkpoint_only,Do not force-fit output to this target.
