figure_id,caption,chart_family,extraction_priority,preliminary_crop_path,proposal_path,bbox_left,bbox_top,bbox_right,bbox_bottom,width_px,height_px,crop_sha256,proposal_status,review_status,detection_note
Figure 2,Base Case Harvest Level,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-2.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-2-proposal.png,0,85,1075,730,1075,645,e9a41bd869aac49d56fb998858acad029ae7aa46077cbb4368ec9bd1200b0bc3,proposed,needs_manual_crop_review,2 colour components after filtering
Figure 3,Base Case THLB Growing Stock By 1-120 Years Old And 120+ Years Old Categories,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-3.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-3-proposal.png,0,616,1075,1305,1075,689,2d01f01bafe874db128cfa9c2309d36ae4333d64f4982851558b994c40fcaa05,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 6,"Base Case Age Class Distribution of Productive Forest Area (187,425 ha)",bar_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-6.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-6-proposal.png,0,140,1075,1410,1075,1270,1104e6973b0865aa181b43d396c4cb58ab26728f9fe28da9c81e9f2482ae70b5,proposed,needs_manual_crop_review,9 colour components after filtering
Figure 14,Base Case Cedar Inventory in Productive Forests,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-14.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-14-proposal.png,0,265,1022,974,1022,709,0376da1a0251545107f01fb938d6634542a7f22d73847b340e6d1b52fc191152,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 15,Base Case Old Cedar Inventory in Productive Forests,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-15.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-15-proposal.png,0,3,1075,819,1075,816,940a96a07d643a183be960c8dde3b05a1ada8d1863d78078ff662cc1a3f39136,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 16,Projection of Old Seral Forest Proportions for Holberg LU,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-16.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-16-proposal.png,0,281,922,961,922,680,f947a40b2a286a0599162d038a6a0d3e00838fac409ada88499a769bb0b05ca5,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 17,Projection of Old Seral Forest Proportions for Keogh LU,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-17.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-17-proposal.png,0,34,922,1410,922,1376,5949e9ded051b57c85ca3491de7a135bd679726871140bb5003353d09f8cb07c,proposed,needs_manual_crop_review,10 colour components after filtering
Figure 18,Projection of Old Seral Forest Proportions for Mahatta LU,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-18.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-18-proposal.png,0,34,922,1410,922,1376,5949e9ded051b57c85ca3491de7a135bd679726871140bb5003353d09f8cb07c,proposed,needs_manual_crop_review,10 colour components after filtering
Figure 19,Projection of Old Seral Forest Proportions for Neroutsos LU,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-19.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-19-proposal.png,0,157,946,927,946,770,9d95a325755bc0d9e7b78477647febb2d4ed7ecd761cfbb412975b6ad3a4a85b,proposed,needs_manual_crop_review,5 colour components after filtering
Figure 20,Timber Supply Impacts since MP #10 to Base Case,waterfall_or_bar_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-20.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-20-proposal.png,0,241,961,1201,961,960,69f57bd928579d8010f51559e8804569d35f01c17e22239d2aff2da41cc31ce6,proposed,needs_manual_crop_review,2 colour components after filtering
