step_id,label,order,execution_class,rule_applied,gross_candidate_area_ha,ordered_deduction_ha,cumulative_area_ha,mp11_target_ha,delta_vs_mp11_ha,residual_class,model_input_status,notes
mp11_nd_000,Total land base / accounting universe,0,checkpoint,initial R1 accounting geometry,217042.7189502805,,217042.7189502805,217197.0,-154.28104971948778,public_match,not_model_input,Initial accounting area from R1 geometry.
mp11_nd_010,Non-forest and non-treed review candidates,10,attribute_candidate,"bclcs_level_1 in {'N', 'U'}",10693.44593773795,10693.44593773795,206349.27301254257,,,public_proxy_residual,not_model_input,Conservative non-forest candidate; broader BCLCS level-2 envelope remains diagnostic.
mp11_nd_020,Existing roads,20,overlay_candidate,DRA all-road 5 m buffer full-stand intersection diagnostic,4339.760949022255,94381.2923117801,111967.98070076246,,,public_proxy_residual,not_model_input,Road class filters and widths are provisional; full-stand intersection overstates partial road area.
mp11_nd_030,Total forested checkpoint,30,checkpoint,checkpoint after non-forest and road diagnostics,,,111967.98070076246,196233.0,-84265.01929923754,checkpoint_delta,not_model_input,Forested checkpoint comparison only.
mp11_nd_040,Non-productive and low-site candidates,40,attribute_candidate,explicit non-productive signal or site_index < 5,6047.407778738795,6047.407778738795,105920.57292202368,,,public_proxy_residual,not_model_input,Public inventory/productivity proxy; MP11 LiDAR/LEFI low-site gap remains.
mp11_nd_050,Productive forest / AFLB checkpoint,50,checkpoint,checkpoint after productivity diagnostics,,,105920.57292202368,187425.0,-81504.42707797632,checkpoint_delta,not_model_input,Productive forest checkpoint comparison only.
mp11_nd_060,"Legal/proposed OGMAs, WHAs, UWRs, and conservation candidates",60,overlay_candidate,current legal/non-legal OGMA plus approved WHA/UWR diagnostic union,21440.02910066681,23851.66436029556,82068.90856172812,,,public_proxy_residual,not_model_input,Current public layers are diagnostic; proposed/vintage equivalence remains unaccepted.
mp11_nd_070,"Additional values: research, PSPs, big trees, and karst",70,unavailable_or_proxy_gap,no public-safe geometry available,,0.0,82068.90856172812,,,unavailable_non_public,not_model_input,Research/PSP/big-tree/karst dependencies remain unavailable or deferred.
mp11_nd_080,Physical/economic operability proxy,80,proxy_candidate,"public VRI low-height, low-volume, or hembal-height3 proxy",39516.60953254543,39516.60953254543,42552.299029182686,156305.0,-113752.70097081731,public_proxy_residual,not_model_input,No DEM/slope or WFP LBB geometry; this is a high-uncertainty diagnostic proxy.
mp11_nd_090,Riparian management,90,overlay_candidate,FWA streams/lakes/wetlands 10 m buffer full-stand intersection diagnostic,14834.668660045934,17789.530729973976,24762.768299208707,,,public_proxy_residual,not_model_input,"Hydrology classes, widths, and shoreline remain unresolved; full-stand intersection overstates partial riparian area."
mp11_nd_100,Terrain stability and LiDAR 90 percent slope,100,proxy_candidate,no public DEM/slope derivative available,,0.0,24762.768299208707,,,deferred_public_proxy,not_model_input,Terrain stability and 90 percent slope remain deferred until public DEM/slope is materialized.
mp11_nd_110,Existing/future WTRAs and stand-level retention,110,aspatial_policy_candidate,no aspatial WTRA/retention deduction applied,,0.0,24762.768299208707,,,deferred_policy,not_model_input,WTRA/stand-level retention policy remains a later reviewed aspatial rule.
mp11_nd_120,Current THLB checkpoint,120,checkpoint,current THLB diagnostic checkpoint,,,24762.768299208707,120099.0,-95336.2317007913,checkpoint_delta,not_model_input,"Current THLB is diagnostic public-data output only, not accepted model input."
